transaction_id,transaction_date,year,quarter,month,region,department,product_category,revenue,expense,units_sold,customers
1,2024-01-19,2024,Q1,1,East,Operations,Hardware,52209.9,25795.5,568,27
2,2025-01-23,2025,Q1,1,North,Sales,Hardware,70368.87,49882.24,584,55
3,2025-04-11,2025,Q2,4,West,IT,Services,182838.94,82788.46,173,113
4,2025-03-09,2025,Q1,3,South,Finance,Software,43085.44,21180.29,362,159
5,2024-12-27,2024,Q4,12,West,IT,Software,214757.57,131596.95,575,80
6,2025-10-28,2025,Q4,10,South,Sales,Software,153946.35,120450.61,91,64
7,2024-07-21,2024,Q3,7,East,Marketing,Services,56717.55,34187.43,283,179
8,2024-10-22,2024,Q4,10,South,IT,Hardware,56863.49,34866.75,580,61
9,2025-01-07,2025,Q1,1,South,Sales,Services,103227.13,49390.17,590,85
10,2025-07-24,2025,Q3,7,West,Operations,Services,52227.91,40233.52,561,72
11,2025-10-25,2025,Q4,10,West,Finance,Hardware,219478.53,111820.5,515,28
12,2024-02-09,2024,Q1,2,South,Operations,Subscription,141299.76,86962.93,489,140
13,2024-11-06,2024,Q4,11,North,IT,Services,174876.75,104274.71,310,116
14,2025-01-17,2025,Q1,1,East,IT,Hardware,123997.93,61472.8,315,168
15,2024-03-27,2024,Q1,3,East,Operations,Software,141794.19,93598.41,124,97
16,2025-04-25,2025,Q2,4,North,Operations,Software,41702.42,27480.89,80,141
17,2024-03-18,2024,Q1,3,West,IT,Hardware,76686.04,63277.2,443,59
18,2024-12-08,2024,Q4,12,East,Marketing,Services,110429.52,74270.21,133,68
19,2024-06-03,2024,Q2,6,North,IT,Hardware,139745.82,63317.72,70,63
20,2024-06-24,2024,Q2,6,North,IT,Hardware,79303.07,52239.17,562,38
21,2025-04-14,2025,Q2,4,West,Marketing,Hardware,43393.53,31823.19,372,113
22,2025-12-07,2025,Q4,12,North,Sales,Software,103511.15,61682.31,121,68
23,2024-09-26,2024,Q3,9,West,Operations,Subscription,60780.17,39442.08,87,118
24,2024-01-02,2024,Q1,1,North,Sales,Hardware,57430.67,37836.8,228,107
25,2024-07-23,2024,Q3,7,North,Marketing,Services,205671.02,161987.65,302,113
26,2025-03-24,2025,Q1,3,South,Finance,Hardware,213898.33,149525.1,565,20
27,2025-01-17,2025,Q1,1,North,IT,Subscription,123055.82,100495.94,171,19
28,2024-03-08,2024,Q1,3,North,IT,Software,156666.45,86344.78,132,150
29,2024-10-09,2024,Q4,10,North,Marketing,Services,207267.72,111475.1,331,66
30,2025-03-20,2025,Q1,3,East,Marketing,Services,206158.57,175722.5,19,122
31,2024-02-12,2024,Q1,2,South,IT,Services,50829.03,30501.17,80,67
32,2025-03-22,2025,Q1,3,West,IT,Services,144277.16,126171.85,551,7
33,2025-11-09,2025,Q4,11,North,Operations,Services,47508.59,23565.47,576,44
34,2025-10-09,2025,Q4,10,South,Finance,Hardware,159061.94,129914.24,527,130
35,2024-02-24,2024,Q1,2,West,Finance,Software,25691.41,20079.92,278,46
36,2025-09-02,2025,Q3,9,West,IT,Software,46815.41,40091.4,162,144
37,2025-10-07,2025,Q4,10,South,Marketing,Hardware,33156.63,20119.45,50,96
38,2024-11-26,2024,Q4,11,North,Finance,Subscription,214898.22,165960.6,252,46
39,2024-07-06,2024,Q3,7,North,Operations,Services,177565.37,111340.0,264,73
40,2024-07-27,2024,Q3,7,North,Marketing,Hardware,63916.7,54005.41,368,83
41,2024-04-21,2024,Q2,4,North,Operations,Subscription,89011.08,73137.89,295,94
42,2025-11-04,2025,Q4,11,East,Sales,Software,196022.49,110227.86,281,14
43,2025-06-23,2025,Q2,6,East,Marketing,Software,100113.11,69872.23,270,16
44,2025-01-11,2025,Q1,1,South,Finance,Subscription,38644.89,28428.04,348,164
45,2024-12-05,2024,Q4,12,East,IT,Services,155044.12,91516.13,312,146
